filename,recording_id,start_time,end_time,duration,low_freq,high_freq,Call-Type,Behavioural_context,Combination
opp_542_ru1.wav,121,0.174116384,1.005954034,0.83183765,1.245117188,1957.397461,Roar,Affiliation,Combination
opp_472_ro1.wav,4,0.875765332,1.353111281,0.477345949,2.026367188,1961.547852,Roar,Nursing,Single
opp_574_ro.wav,112,4.245420745,5.665174654,1.419753909,2.026367188,1994.580078,Roar,Competition,Single
opp_647_ru1.wav,227,2.969519723,3.698799919,0.729280196,4.8828125,1972.851563,Roar,Separation,Combination
opp_394_ro1.wav,13,1.195425001,1.72684529,0.531420289,8.129882813,1980.688477,Roar,Competition,Single
opp_679_ro.wav,300,2.257137209,2.790623191,0.533485982,10.37597656,1935.668945,Roar,Competition,Combination
opp_825_ro.wav,2,1.111951468,1.629097359,0.517145891,11.07421875,1955.878906,Roar,Competition,Single
opp_544_ru.wav,975,4.54969408,5.103530515,0.553836435,11.9140625,1945.703125,Roar,Competition,Combination
opp_578_ru.wav,1175,4.873338739,5.528222961,0.654884222,13.20800781,1417.993164,Roar,Nursing,Combination
opp_670_ro1.wav,1167,1.025935131,2.040962689,1.015027558,14.67285156,1973.242188,Roar,Competition,Single
opp_473_ro.wav,1075,1.730457665,2.610400476,0.879942811,19.3359375,1970.239258,Roar,Nursing,Single
opp_464_ro.wav,190,1.897262532,2.424613527,0.527350995,19.43359375,1954.296875,Roar,Competition,Single
opp_811_ru.wav,1007,0,0.84815054,0.84815054,25.09765625,1795.3125,Roar,Logistics,Combination
opp_813_ro.wav,42,1.719807607,2.796086121,1.076278514,26.61132813,1973.413086,Roar,Competition,Single
opp_423_ro.wav,233,2.497049681,5.185851837,2.688802156,29.83398438,1981.054688,Roar,Competition,Single
opp_825_ro1.wav,136,1.004908053,2.240875155,1.235967102,31.03027344,1982.714844,Roar,Competition,Single
opp_375_ro.wav,1176,1.859149473,2.750555921,0.891406448,32.47070313,1929.052734,Roar,Competition,Single
